Hungary,HUN,348,Prevalence of moderate or severe food insecurity in the population (%),6.9
Indonesia,IDN,360,Prevalence of moderate or severe food insecurity in the population (%),7
Ireland,IRL,372,Prevalence of moderate or severe food insecurity in the population (%),7.2
"Iran, Islamic Rep.",IRN,364,Prevalence of moderate or severe food insecurity in the population (%),40.6
Iceland,ISL,352,Prevalence of moderate or severe food insecurity in the population (%),7.2
Israel,ISR,376,Prevalence of moderate or severe food insecurity in the population (%),12.9
Italy,ITA,380,Prevalence of moderate or severe food insecurity in the population (%),7.2
Jamaica,JAM,388,Prevalence of moderate or severe food insecurity in the population (%),45.8
Japan,JPN,392,Prevalence of moderate or severe food insecurity in the population (%),3.2
Kazakhstan,KAZ,398,Prevalence of moderate or severe food insecurity in the population (%),2.4
Kenya,KEN,404,Prevalence of moderate or severe food insecurity in the population (%),64.4
Kyrgyz Republic,KGZ,417,Prevalence of moderate or severe food insecurity in the population (%),6.3
Cambodia,KHM,116,Prevalence of moderate or severe food insecurity in the population (%),44.1
Kiribati,KIR,296,Prevalence of moderate or severe food insecurity in the population (%),41
St. Kitts and Nevis,KNA,659,Prevalence of moderate or severe food insecurity in the population (%),21.1
"Korea, Rep.",KOR,410,Prevalence of moderate or severe food insecurity in the population (%),5.2
Kuwait,KWT,414,Prevalence of moderate or severe food insecurity in the population (%),12.3
Latin America & Caribbean (excluding high income),LAC,,Prevalence of moderate or severe food insecurity in the population (%),31.9
Lebanon,LBN,422,Prevalence of moderate or severe food insecurity in the population (%),14.7
Libya,LBY,434,Prevalence of moderate or severe food insecurity in the population (%),35.7
Latin America & Caribbean,LCN,,Prevalence of moderate or severe food insecurity in the population (%),31.7
Low income,LIC,,Prevalence of moderate or severe food insecurity in the population (%),58.7
Sri Lanka,LKA,144,Prevalence of moderate or severe food insecurity in the population (%),7.6
Lower middle income,LMC,,Prevalence of moderate or severe food insecurity in the population (%),34.9
Low & middle income,LMY,,Prevalence of moderate or severe food insecurity in the population (%),29.3237794008336
Lesotho,LSO,426,Prevalence of moderate or severe food insecurity in the population (%),49.7
Lithuania,LTU,440,Prevalence of moderate or severe food insecurity in the population (%),10.7
Luxembourg,LUX,442,Prevalence of moderate or severe food insecurity in the population (%),3.3
Latvia,LVA,428,Prevalence of moderate or severe food insecurity in the population (%),9.5
Moldova,MDA,498,Prevalence of moderate or severe food insecurity in the population (%),27.5
Madagascar,MDG,450,Prevalence of moderate or severe food insecurity in the population (%),58
Middle East & North Africa,MEA,,Prevalence of moderate or severe food insecurity in the population (%),30.5
Mexico,MEX,484,Prevalence of moderate or severe food insecurity in the population (%),23
Middle income,MIC,,Prevalence of moderate or severe food insecurity in the population (%),26.4759683058948
North Macedonia,MKD,807,Prevalence of moderate or severe food insecurity in the population (%),14.4
Malta,MLT,470,Prevalence of moderate or severe food insecurity in the population (%),4.4
Middle East & North Africa (excluding high income),MNA,,Prevalence of moderate or severe food insecurity in the population (%),32.6
Montenegro,MNE,499,Prevalence of moderate or severe food insecurity in the population (%),12.9
Mongolia,MNG,496,Prevalence of moderate or severe food insecurity in the population (%),6.8
Mozambique,MOZ,508,Prevalence of moderate or severe food insecurity in the population (%),68.4
Mauritania,MRT,478,Prevalence of moderate or severe food insecurity in the population (%),35.9
Mauritius,MUS,480,Prevalence of moderate or severe food insecurity in the population (%),20.7
Malawi,MWI,454,Prevalence of moderate or severe food insecurity in the population (%),78.8
Malaysia,MYS,458,Prevalence of moderate or severe food insecurity in the population (%),15.1
North America,NAC,,Prevalence of moderate or severe food insecurity in the population (%),8
Namibia,NAM,516,Prevalence of moderate or severe food insecurity in the population (%),56.4
Niger,NER,562,Prevalence of moderate or severe food insecurity in the population (%),52.1
Nigeria,NGA,566,Prevalence of moderate or severe food insecurity in the population (%),47.1
Netherlands,NLD,528,Prevalence of moderate or severe food insecurity in the population (%),5.1
Norway,NOR,578,Prevalence of moderate or severe food insecurity in the population (%),4.8
Nepal,NPL,524,Prevalence of moderate or severe food insecurity in the population (%),33.8
New Zealand,NZL,554,Prevalence of moderate or severe food insecurity in the population (%),13.9
Pakistan,PAK,586,Prevalence of moderate or severe food insecurity in the population (%),14.2
Philippines,PHL,608,Prevalence of moderate or severe food insecurity in the population (%),41.2
Poland,POL,616,Prevalence of moderate or severe food insecurity in the population (%),4.3
Portugal,PRT,620,Prevalence of moderate or severe food insecurity in the population (%),10.7
Paraguay,PRY,600,Prevalence of moderate or severe food insecurity in the population (%),21.3
West Bank and Gaza,PSE,275,Prevalence of moderate or severe food insecurity in the population (%),26.8
Romania,ROU,642,Prevalence of moderate or severe food insecurity in the population (%),14.5
Russian Federation,RUS,643,Prevalence of moderate or severe food insecurity in the population (%),7.1
South Asia,SAS,,Prevalence of moderate or severe food insecurity in the population (%),34.3
Sudan,SDN,729,Prevalence of moderate or severe food insecurity in the population (%),48.9
Senegal,SEN,686,Prevalence of moderate or severe food insecurity in the population (%),40
Singapore,SGP,702,Prevalence of moderate or severe food insecurity in the population (%),4.7
Sierra Leone,SLE,694,Prevalence of moderate or severe food insecurity in the population (%),83
El Salvador,SLV,222,Prevalence of moderate or severe food insecurity in the population (%),42.2
Serbia,SRB,688,Prevalence of moderate or severe food insecurity in the population (%),12.5
Sub-Saharan Africa (excluding high income),SSA,,Prevalence of moderate or severe food insecurity in the population (%),57.3
South Sudan,SSD,728,Prevalence of moderate or severe food insecurity in the population (%),84.9
Sub-Saharan Africa,SSF,,Prevalence of moderate or severe food insecurity in the population (%),57.3
Slovak Republic,SVK,703,Prevalence of moderate or severe food insecurity in the population (%),5
Slovenia,SVN,705,Prevalence of moderate or severe food insecurity in the population (%),10.2
Sweden,SWE,752,Prevalence of moderate or severe food insecurity in the population (%),5.7
Togo,TGO,768,Prevalence of moderate or severe food insecurity in the population (%),61.9
Thailand,THA,764,Prevalence of moderate or severe food insecurity in the population (%),4.7
Tonga,TON,776,Prevalence of moderate or severe food insecurity in the population (%),23.2
Tunisia,TUN,788,Prevalence of moderate or severe food insecurity in the population (%),22.1
Tanzania,TZA,834,Prevalence of moderate or severe food insecurity in the population (%),56.1
Uganda,UGA,800,Prevalence of moderate or severe food insecurity in the population (%),75
Ukraine,UKR,804,Prevalence of moderate or severe food insecurity in the population (%),18.3
Upper middle income,UMC,,Prevalence of moderate or severe food insecurity in the population (%),17
Uruguay,URY,858,Prevalence of moderate or severe food insecurity in the population (%),13.3
United States,USA,840,Prevalence of moderate or severe food insecurity in the population (%),8.4
Uzbekistan,UZB,860,Prevalence of moderate or severe food insecurity in the population (%),17.2
St. Vincent and the Grenadines,VCT,670,Prevalence of moderate or severe food insecurity in the population (%),33.3
Viet Nam,VNM,704,Prevalence of moderate or severe food insecurity in the population (%),6.2
Vanuatu,VUT,548,Prevalence of moderate or severe food insecurity in the population (%),23.3
World,WLD,,Prevalence of moderate or severe food insecurity in the population (%),24.8
Samoa,WSM,882,Prevalence of moderate or severe food insecurity in the population (%),23.6
"Yemen, Rep.",YEM,887,Prevalence of moderate or severe food insecurity in the population (%),46
South Africa,ZAF,710,Prevalence of moderate or severe food insecurity in the population (%),17.4
Zambia,ZMB,894,Prevalence of moderate or severe food insecurity in the population (%),55.6
Zimbabwe,ZWE,716,Prevalence of moderate or severe food insecurity in the population (%),66.7
